#id redshift FUV_wl FUV FUV_err NUV_wl NUV NUV_err u_wl u u_err g_wl g g_err r_wl r r_err i_wl i i_err z_wl z z_err J_wl J J_err H_wl H H_err K_wl K K_err W1_wl W1 W1_err W2_wl W2 W2_err W3_wl W3 W3_err W4_wl W4 W4_err
10 0.046771 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.4250560377780253 0.01446169839782183 4686 2.007795461984784 0.008094005994441133 6166 4.378895444002401 0.015896003598572152 7480 6.446845607820771 0.025457495015939656 8932 8.066712656147727 0.05864917533465981 12350 12.904325178205092 0.49682138075417887 16620 14.365271462620203 0.7769293671844248 21590 14.37844579435121 0.8567241116187518 34000 6.3591132978616285 0.0408047096017063 46000 3.5109376435388926 0.04827586497761691 120000 1.258754952700679 0.24000495942822667 220000 4.366893724488555 -99.0
11 0.044609 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.6111321425345946 0.0418147874112951 4686 2.570253442966238 0.058736820331577316 6166 5.557349093692163 0.12244637260284068 7480 8.383535665261846 0.18874909723127622 8932 10.877623573227572 0.3011312275495676 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 -99.0 -99.0 46000 -99.0 -99.0 120000 -99.0 -99.0 220000 12.292369838784962 2.9747826092102736
12 0.045676 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.1249749210960361 0.00802946188321926 4686 0.6872871563346317 0.009317671788738238 6166 1.363103006342158 0.018109341414769727 7480 1.8706818241900376 0.02350515381490357 8932 2.2953369258638796 0.040662597569797815 12350 3.8656663698732094 0.24096222820226135 16620 4.152185317444561 0.37681450468504313 21590 2.9254978902443582 0.4129868265789949 34000 1.5315674465170122 0.014039505636190932 46000 0.8691723365712705 0.02390247314122065 120000 0.31104824639156975 -99.0 220000 1.843120694072821 -99.0
13 0.046034 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.038728397407914644 0.004863798886573567 4686 0.18693424066427225 0.002878220862934335 6166 0.3485036687715045 0.0038208663627349853 7480 0.49257704820302683 0.007116784655397684 8932 0.6243729819302767 0.01967947054137872 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.30455889796057584 0.010608905420349054 46000 0.17507114063993512 0.0205418815039005 120000 0.4271425521971999 -99.0 220000 1.5273613808737467 -99.0
14 0.045431 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.04989790961220861 0.004411002196101824 4686 0.16697865744260726 0.002127086790292951 6166 0.3153534577165016 0.003377671985617635 7480 0.43575886590082674 0.004473874744640201 8932 0.5378471996277326 0.016997746442383794 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.18718730203104075 0.006863601568091908 46000 0.09871827995682893 0.015202763872275954 120000 0.16876806633865074 -99.0 220000 1.5960663797275563 -99.0
15 0.047918 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.052292432628623084 0.007878212264031622 4686 0.09371589100581701 0.0031296599959991394 6166 0.12608651764042328 0.0038302166936729854 7480 0.16189404832503737 0.007189792053582073 8932 0.1780800798649923 0.02821289467568921 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.14322838367458474 0.010372223609893864 46000 0.10249908150822436 0.018415848509909717 120000 0.33594544700962214 -99.0 220000 1.6019294228332415 -99.0
16 0.045068 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.07328909900820137 0.008698922798024636 4686 0.31779743828261686 0.004044417433303919 6166 0.5825436449341865 0.006946414512507741 7480 0.7443362135946374 0.008803301536285649 8932 0.8745409952127118 0.032700665668223106 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.4617553625270433 0.013121676613978742 46000 0.25192026705811876 0.027018713019876527 120000 0.5963261417119474 -99.0 220000 2.8670906966420433 -99.0
17 0.042157 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.19345772144785459 0.011725945454452248 4686 0.6528307969287531 0.007087153148963298 6166 1.2301397803465548 0.00903081779005927 7480 1.7750722972439146 0.0130032524933872 8932 2.1933853894073603 0.03927866533552912 12350 3.922781186982524 0.36318771201702277 16620 5.362269398397521 0.5652780969894486 21590 3.1596631965145976 0.6256194345911116 34000 2.0405332280655024 0.0224460851434862 46000 1.3471039914998357 0.02840172039806442 120000 5.46148534203533 0.16521154819026165 220000 8.918629210798406 1.1118666545526257
18 0.046166 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 1.0882944552495082 0.03161068514329401 4686 2.830230393496769 0.01465896727463862 6166 5.373487385811134 0.020029827682208044 7480 7.700267805887072 0.028854771425848164 8932 9.06688779526245 0.09383216033628285 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 -99.0 -99.0 46000 -99.0 -99.0 120000 -99.0 -99.0 220000 16.28750341192689 3.7773804612539945
19 0.042094 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.06087769936209324 0.00839877973227089 4686 0.1421703136325394 0.003882821691707238 6166 0.2011317027940237 0.003911212512204639 7480 0.25045159930380073 0.008375787234794959 8932 0.3441203391974588 0.0319113799154912 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.2930561171764399 0.029818751698952393 46000 0.1672280797173655 0.04629475972894862 120000 0.7519777013315034 -99.0 220000 -99.0 -99.0
20 0.045617 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.07272869458612509 0.009369814863310994 4686 0.2755251225287243 0.004490977618259407 6166 0.46629671816811064 0.006497793717256224 7480 0.615591143130436 0.009320195482251551 8932 0.7603518007416382 0.03634505702514934 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.6399382958883885 0.013492164425702426 46000 0.34881178815529174 0.022702056018545563 120000 1.0157436463757066 0.173185986330565 220000 3.3108862274679516 -99.0
21 0.041521 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.1452474730807091 0.008709109179736479 4686 0.6606694545362487 0.012231311316034096 6166 1.3197339006945896 0.023206856902242706 7480 1.845726188575972 0.029600185142718897 8932 2.3053563691674626 0.03538994491637262 12350 3.268667590131327 0.1767821686450585 16620 4.054393920327044 0.2936085660211807 21590 3.289709182638588 0.31965320338378406 34000 1.3274904585408551 0.013385659768861967 46000 0.7269005495298302 0.013992972499574513 120000 0.7423888868339354 0.11909271591756086 220000 2.1109290498180906 -99.0
